Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
S2T4K1EC5QAH0,Cheese Pizza,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
NKEQJS7E1WBDY,Pepperoni Pizza,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
EFS124EQV6YJY,Margarita Pizza,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
574GRTWXZ9638,Magoo’s Pizza,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
HJD25K0NQABET,BBQ Chicken Pizza,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
RD3S4V0DCHBPT,Combination Pizza,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
ZE7HFMZHMY8HJ,Veggie Pizza,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
RQ1GJ1N09CW2M,Chicken Club Pizza,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
MD83FEBE866PY,Hawaiian Pizza,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
67W462YNNPTM8,Chicken Pesto Pizza,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,No Pizza Toppings,,Food,No,No
,,,,,,,,,,Add Pizza Toppings,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sub Pizza Sauce,,,,
Y7WFYDAJ0D7HA,Cheese Omelette,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Add Cheese Mod,,,,
,,,,,,,,,,Bread,,,,
ZSP7QN3A991W0,Magoo’s Special Omelette,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Bread,,,,
X1ZBMAK4D47B6,Denver Omelette,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Bread,,,,
2S94WM09GCW9E,Veggie Omelette,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Bread,,,,
1BHHNBFH255MR,Pleasant Hill Scramble,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Bread,,,,
15GZV2NN3YMJ6,Short Stack,,8.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
P72J3Q5F9EGY4,Full Stack,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
YYW1RAJ7109G6,Cinnamon French Toast,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
X777090R9P61R,Chef’s Special,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
,,,,,,,,,,Eggs,,,,
ZKH5WDQ9ZQWHT,Breakfast Burritos,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Burrito Meat,,,,
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
DEHMCPZH1RFE8,Grilled Breakfast Sandwich,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Add Cheese Mod,,,,
,,,,,,,,,,Bread,,,,
ZFK2S1D8WBDR8,Two Eggs,,8.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Eggs,,,,
,,,,,,,,,,Bread,,,,
07Y46FF4DS4RG,Bacon and Eggs,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Eggs,,,,
,,,,,,,,,,Bread,,,,
2PTMGPDZA4NEJ,Sausage and Eggs,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Eggs,,,,
,,,,,,,,,,Bread,,,,
2517B5YTWP95C,Ham and Eggs,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Eggs,,,,
,,,,,,,,,,Bread,,,,
Y4EWRQ6R6BR6C,Steak and Eggs,,15.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Eggs,,,,
,,,,,,,,,,Bread,,,,
9D57P80BME6JY,BTS Omelet,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Bread,,,,
Z73739TM6G9GA,Chili Omelet,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Bread,,,,
X8S9ZJX2XWSNA,Swiss Spinach Omelet,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Bread,,,,
DHRFDD2BMKXN6,Southwestern Scramble,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Bread,,,,
1SQ8BK03P5J5C,Chorizo Scramble,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Bread,,,,
70KVW9B8W6WHW,Country Fried Steak,,14.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Eggs,,,,
,,,,,,,,,,Bread,,,,
36FP196711RR0,Carnitas Hash,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Bread,,,,
YYQB48GKFGA5Y,Huevos Rancheros,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
36SS601ASVPK4,Waffles and Chicken Tenders,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
QGZ2159Q8K1T4,Traditional Egg Benedict,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
E746FN3XQ6S7W,Vegetarian Benedict,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
Q5WHR2QN0H3JR,Tri-Tip Benedict,,14.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
K1VQ02B690B1E,Bacon Avocado Benedict,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
2YADG7906W6X4,Club Benedict,,13.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Protein Mods,,,,
TTE5KV8ASQ2AP,Asparagus & Smoked Salmon Benedict,,13.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Breakfast Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Bread,,,,
KD09ATBDH98P6,Magoo’s Healthy Creation,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
,,,,,,,,,,Protein Mods,,,,
,,,,,,,,,,Eggs,,,,
M1VD9X64SDD9T,Open Face Magoo’s Special,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Breakfast Mods,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
10V9NVR87NN54,Waffle Country Fried Steak Sandwich,,14.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
2JJE47HKESGDM,Angry Orchard Bottle,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
AFNVNX77A1N0G,Becks N/A Bottle,,4.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
6BD5RSFFG0D20,Bud Light Bottle,,4.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
0SHZW1CKYYMNT,Budweiser 25oz Can,,6.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
TG1GC81JH6KV4,Budweiser Bottle,,4.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
SVDZD22HW7514,Coors Light Bottle,,4.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
47DMG52G8N7P0,Corona Bottle,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
N95WAVFSSEBNY,Corona Light Bottle,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
W6CQH0P11ZWV4,Heineken Bottle,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
8G3YTD5WW6P0M,Longboard Bottle,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
RSJM2M27EFRNR,Michelob Ultra Bottle,,4.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
5C7CXVB0SFQM0,Michelob Ultra Gold Bottle,,4.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
BXTH2Z0SQWHB2,Miller Lite Bottle,,4.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
JTMD77GAYP2KP,Newcastle Bottle ,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
ZGT2DAFQM52QE,PBR 24oz Can,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
PN4VHR57REKYE,Pacifico Bottle,,4.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
R2F3SJ1Z841X8,Stone IPA Bottle,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
Z6CVS5CRMSKKC,White Claw,,5.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
XMTK5S0ZGZ5JP,21st Amendment Draft,,7.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
DR47E74YVJ4GM,805 Draft,,7.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
87EJHE7C75CD6,ACE Cider Draft,,7.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
Z08WTCEM3TVMP,Altamont Maui Waui IPA Draft,,7.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
BMGJGBZ7ND4N0,Black/Tan Draft,,6.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
1NPCJSZ55FMAR,Blue Moon Draft,,6.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
TJ36D42FVNMH2,Budweiser Draft,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
GMYYJCZBSCF1M,Coors Light Draft,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
YRJK0KNH20ZZE,Del Cielo Draft,,7.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
D3RKFCRBRYFJ2,Desschutes Fresh Squeezed IPA Draft,,7.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
4P48KBEMWNP34,Ghost Town Hazy IPA Draft,,8.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
TG02CXN63WQ6P,Guinness Draft,,6.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
S2Q80448PXX4R,Elysain Space Dust,,8.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
ZJ0V2P7EQ1VE2,Lagunitas IPA Draft,,6.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
P3CGE8M2KAMJM,Lagunitas Hazy IPA Draft,,5.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
KW47CFCTZF86E,Lagunitas Waldo TIPA Draft,,12.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
H9Z980EQ5DE2T,Modelo Especial Draft,,6.50,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
PHHPSBJ0F7SGT,Morgan Territory Draft,,8.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
QH7R3WGWVNXXG,Sierra Nevada Draft,,7.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
V61Q4DWBV7N2E,Sierra Nevada Seasonal Draft,,8.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
3G15F6F84MM72,Stella Draft,,6.50,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
C26APH2VMMH2W,Napa Cellers Chardonnay,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
VMFYH69JRPAGP,Flat Top Hill Sauvignon Blanc,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
V987865ASP674,Fre Non-Alcholic Chardonnay,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
WAZE3PKYB0FS4,Ménage A Trois Pinot Grigio,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
H49VW52VHZDQW,Oyster Bay Sauvignon Blanc,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
E6T52X8J647M6,Rose,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
0KZJCBYPBQ6K2,Sutter Home White Zinfandel,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
9GJABFQJG06H4,Kendall Jackson Chardonnay,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
D25QQC9NQT554,Whispering Angel Rose,,11.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
A9DDERM3QFP28,1924 Pinot Noir,,11.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
AY6SA18TS5NYY,Gnarly Head Old Vine Zinfandel,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
54VY8NKWPWP9W,Line 39 Merlot,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
G0SA6SB26D1QM,Noble Vines 337 Cabernet Sauvignon,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
4XVBQ0R7MVR4T,Crown Royal,,8.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
JDJPMDZHE95HC,Fireball,,7.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
2EVGXW35B45QM,Jack Daniels ,,8.50,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
SZZMJM91722ZE,Jack Daniels Fire,,8.50,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
D17SF0VRJ0HJ8,Jameson,,9.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
Y2HJXCN2SGTQC,Jameson Cold Brew,,9.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
P7SHQVRPQ95WY,Japanese Whisky,,9.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
78FA70ZRBWVM2,Jim Beam,,7.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
J64AZ4Q8006CR,Knob Creek,,11.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
NCS8AXB8QJWDE,Knob Creek Rye,,11.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
D8HSVHJYZA7Q2,Maker’s Mark,,11.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
TG2CA68E3YDY4,Redemption Rye,,7.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
EC9T27FGM5X74,Seagrams 7,,7.25,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
SNY1RZN94PC8M,Seagrams VO,,7.50,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
4GFSAYJTVT10C,Tullamore Dew,,9.00,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
39BTNX2JD1CST,Woodford Reserve ,,12.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
FP8DC3V2AY2K0,Absolut,,8.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
4KB700VJNDZEA,Absolut Citron,,8.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
XCCR5X0JV93P6,Absolut Mandarin,,8.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
B0KT85600Y6P4,Burnetts Cherry,,6.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
77T1X0FWPDCH4,Burnetts Whipped,,6.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
GGTY8XR6N6VSJ,Grey Goose,,11.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
5TSPFZGWFX48W,Ketel One,,9.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
VS7MZZ4NXFCVY,Skyy,,8.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
