Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
CMDN3EBB87JEA,Skyy California Apricot,,8.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
FF9YEDE4Q5Y1T,Skyy Peach,,8.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
QB45CN0N0ZVSJ,Titos,,9.50,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
Q0TS9FMHX43M2,Casamigos Anejo,,14.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
ZGPZ1WZY5SZNG,Casamigos Repo,,11.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
8Q5D1P5YX50J4,Cazadores Blanco,,9.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
E74YQWJ0QA0N0,Cazadores Repo,,9.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
12RJRE7634N7W,Clase Azul Repo,,19.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
4ZTJGDSTYQGGE,Don Julio 1942,,28.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
2D00C9NEM62ER,Don Julio Anejo,,14.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
RBBA9H2ER00PY,Don Julio Blanco,,12.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
RRV7BY08CTCNP,Don Julio Repo,,12.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
5XHGA25Q6ENBW,Dulce Vida Blanco,,7.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
RYD1071VQW5WC,Patron Silver,,11.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
7KVG64KGE3WTE,Del Maguey Vida Mezcal,,9.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
9C31J3P0J56G4,Dewars White Label,,10.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Scotch DBL,,,,
,,,,,,,,,,Drink Mix,,,,
G4ABZ48DSX97G,Glenlivet 12 Year,,12.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Scotch DBL,,,,
,,,,,,,,,,Drink Mix,,,,
6J40KYBGGVS56,Johnnie Walker Black,,9.50,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Scotch DBL,,,,
,,,,,,,,,,Drink Mix,,,,
G54T7XH1HJGQG,Bacardi Gold,,6.50,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Rum DBL,,,,
,,,,,,,,,,Drink Mix,,,,
4NCXWCB0AAE2M,Bacardi Silver,,7.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Rum DBL,,,,
,,,,,,,,,,Drink Mix,,,,
ZZGX9BQ2C4XV6,Captain Morgan,,7.50,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Rum DBL,,,,
,,,,,,,,,,Drink Mix,,,,
DXA5N8A6K6TRM,Malibu,,7.50,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Rum DBL,,,,
,,,,,,,,,,Drink Mix,,,,
0HFWMQ5GMBY1Y,Myers Dark Rum,,7.50,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Rum DBL,,,,
,,,,,,,,,,Drink Mix,,,,
PQDQ0V06D57XY,Aviation,,9.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
,,,,,,,,,,Gin DBL,,,,
TGZ3QE0Y2HMFW,Bombay Sapphire,,11.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Gin DBL,,,,
FM4QSZST8X6Q2,Hendricks,,12.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
,,,,,,,,,,Gin DBL,,,,
DFS5JY02910SJ,Tanqueray,,7.00,Fixed,,DEFAULT,0.00,,,Liquor Mods,,Liquor,No,No
,,,,,,,,,,Drink Mix,,,,
,,,,,,,,,,Gin DBL,,,,
4H59HMKSMQKCG,Hennessy,,12.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Cognac Mods,,,,
,,,,,,,,,,Drink Mix,,,,
AG5GHNFTSEWJP,Korbel Brandy,,8.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
Q08GE6WFCW8QA,Bottle 1924 Pinot Noir,,30.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
PTMV6VQ5176V0,Bottle Butter Chardonnay,,28.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
MXCQV4AFP9E28,Bottle Flat Top Hills Sauvignon Blanc,,25.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
QJ1YE6BTVPKTA,Bottle Fre Non-Alcholic Chardonnay,,23.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
8VTVRVWDK3WBC,Bottle Gnarly Head Old Vine Zinfandel,,28.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
6QA9H014CQWH6,Bottle Line 39 Merlot,,23.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
17PC8SDAN8FM0,Bottle Ménage A Trois Pinot Grigio,,23.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
P06R8AQ7F8CDA,Bottle Noble Vines 337 Cabernet Sauvignon,,28.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
X426WW58R733M,Bottle Oyster Bay Sauvignon Blanc,,27.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
2ARMFCBJ9EZPY,Bottle Rose,,28.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
VVQ3NQJ3JEWGM,Bottle Sutter Home White Zinfandel,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
E02EF9WV3KF0W,Bottle Sycamore Chardonnay,,23.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
0GFVE7YTSNC64,Bottle Whispering Angel Rose,,30.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
MQ8S8287TT6ZP,Corkage,,15.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
P30C2A7495KHP,Bottle Stanford Brut,,21.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
S7NC048RS7XFR,Bottle Ruffino Prosecco,,28.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
2DBKNJMYRDS7T,Bottomless Mimosa,,15.00,Fixed,,DEFAULT,0.00,,,Mimosa Mods,,Liquor,No,No
0BTKCQVQ1MMWW,Bottomless Mimosa Refill,,0.00,Fixed,,DEFAULT,0.00,,,Mimosa Mods,,Liquor,No,No
S65TBATRNCDN6,Stanford Brut Glass,,6.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
3731G96TGBNGY,Korbel Split,,7.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
WD4DRXVQXYT1W,Mimosa,,7.50,Fixed,,DEFAULT,0.00,,,Mimosa Mods,,Liquor,No,No
AJ77WWPZ4V7JC,Ruffino Prosecco,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
FMJ4ZRMF7V7AA,Pitcher 21st Amendment,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
APN52W9FA0XVR,Pitcher 805,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
6FD1AM3QM7PQR,Pitcher ACE Cider,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
CSBTH94SJF4EJ,Pitcher Altamont Maui Waui IPA,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
10XA0CYS7HPGY,Pitcher Blue Moon,,22.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
X2306B0CGVB30,Pitcher Bud,,18.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
PHF7MMEJYXBT4,Pitcher Coors Light,,18.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
GSZV7NCN4FHE8,Pitcher Del Cielo,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
FC6G428NYCT3A,Pitcher Deschutes Fresh Squeezed IPA,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
Q7F8HR8CQZ3M0,Pitcher Ghost Town Hazy IPA,,28.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
ZDS0WE4725X9M,Pitcher Guinness ,,22.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
G1V0Y9XE1AFJ2,Pitcher Hoptomic DIPA,,28.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
PDXDC9HFVE4HP,Pitcher Lagunitas IPA,,22.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
WQ73WK3041F82,Pitcher Lagunitas Rotating Hazy IPA,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
KWA93C6BM9RXJ,Pitcher Modelo Especial,,22.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
D02QRAPY85MY2,Pitcher Sierra Nevada,,26.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
B6BYV2KHCJCY2,Pitcher Sierra Nevada Seasonal,,30.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
1Q1VDWG656RVT,Pitcher Stella,,22.00,Fixed,,DEFAULT,0.00,,,Glasses,,Liquor,No,No
W2E2N1AQNJK3G,Bailey’s Coffee,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
ATPFZ17VM10ZY,Hot Apple Pie,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
855W4WPF4XFVT,Hot Toddy,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
DC87DR6CK1Q2P,Irish Coffee,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
JJR1R8B4BJEN0,Kahula Coffee,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
1907ZEFVY11N2,Mexican Coffee,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
1P851SSRAVCE6,Snuggler,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
M8DDWFATYQPGC,Baileys,,8.50,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
PM42VEWMNTFBC,Chambord,,8.00,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
TQNC25YQ85P6T,Campari,,8.00,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
Q1JVH6Y39CD8W,Di Saronno,,8.00,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
JZVY9ACGAXVYW,Drambuie,,7.50,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
J2629T5623XY4,Fernet,,9.00,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
7DCEYN1V5KSRT,Frangelico,,7.00,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
MRHSTMXVF0S44,Goldschlager,,7.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
WG0TF1WF2ZSKJ,Grand Marnier,,9.00,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
KS8MY9RQVRHJP,Jager,,7.50,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
PV8VK52DX58FR,Kahlua ,,7.00,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
4R8MMKSYPAYDP,Midori ,,7.00,Fixed,,DEFAULT,0.00,,,Cordials DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
AN32BBJPH785M,Rumpleminz ,,7.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Liquor Mods,,,,
GNGRG8DYZ6FA2,Sambuca ,,7.00,Fixed,,DEFAULT,0.00,,,Liquor Mods,,Liquor,No,No
,,,,,,,,,,Drink Mix,,,,
7VZT3FFEJWHP2,Arnold Palmer,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
7CJ3FY40VCYT2,Chocolate Milk,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
PC738DW5GBHWJ,Coffee,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
8XJ6R9GWBGGH8,Coke,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
AC6V2MR4T2QMW,Cranberry Juice,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
768K6KTJWTW3Y,Decaf Coffee,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
0XC96M7VB02VW,Diet Coke,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
BQNSJ4FYNFZR8,Dr. Pepper,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
ZCZYE1F9EBJNW,Ginger Ale,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
232XT2HCXT7M6,Ginger Beer,,3.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
Z5X1DXESSDDN0,Grapefruit Juice,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
A7QQ9VDTY21YA,Hot Chocolate,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
G145CT1SMSBN6,Hot Tea,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
6KK5DQMMHCDG4,Ice Tea,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
TAD1E84TRHRNE,Lemonade,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
MRAB6PQJ9Y5YT,Strawberry Lemonade,,3.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
GDGS6K9BRAZ1J,Milk,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
Z8EBQVY8Z1VCG,Orange Juice,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
ZFENXPMCRSQ62,Red Bull,,3.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,Red Bull Mods,,Liquor,No,No
9NYYHS4HGZKY2,Pineapple Juice,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
9V5CMWNXC429G,Root Beer,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
CJRZ456FAWMJG,Roy Rogers,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
KK1M3N1H3SJ06,Shirley Temple,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
7FW3XXK1116R8,Soda Water,,0.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
47JRC1DX0C73J,Sprite,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
GQYA78WV20VF6,Tomato Juice,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
N8MXKX4H6C9CY,Tonic Water,,3.19,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Liquor,No,No
X8PG8J9PC41JC,Adios MF,,12.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
7Q5GV03PFDRY8,Appletini,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
0RPKMR87D6QV2,Beautiful,,18.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
V6SQEPATD9TV8,Bitch Fight,,10.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
Y8JMW5B5RTHJW,Black Spiderman,,12.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
NYXB3BN1DHRKA,Blue Hawaii,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
RRNSP02CR005A,Caribou Lou,,7.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
FS7RWYMMK8GP8,Colorado Bulldog,,7.25,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
ZWGKG97VA5X7A,Creamsicle,,8.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
KQPEJA1DFKHPE,Electric Watermelon,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
A0NEWD9CNV92E,En La Playa,,11.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
1W9PY6DMX7B0E,Fuzzy Navel,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
VER8D202JV8RT,Hawaiian Rain Drop,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
3PAVEACPNFT20,Irish Trash Can,,14.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
53RKPP9R67JQG,Lina Snack,,9.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
ZGT0MFRVRN9Z6,Long Beach Tea,,12.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
MBWPQ6K3KSSKY,Mai Tai,,10.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
7F1G8PZ7RGNQP,Melon Ball,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
C9PHEQKGERTQ4,Melon Margarita,,7.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
MF1XSE7ZHJCEY,Midori Sour,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
RSV7FNHP4PG4A,Paloma,,10.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
9TYQ85ZVN38WJ,Pink Flamingo,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
KTW8T9RPZG5WW,Rum Runner,,10.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
71XEK7GKR13K6,Rusty Nail,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
RP5086ZEVME3M,Seperator,,8.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
DMXMKP1HST9WA,Sex on the Beach,,8.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
8R33Q953ZGEBC,Sex with Alligator,,8.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
1BA8TYJJ2743T,Stiletto,,12.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
6S7FT018P3Y5M,Strawberry Moscow Mule,,10.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
N05SV1RW5F41G,Tokyo Tea,,12.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
FDTVDQ30XP5BT,Tweakin Puertorican,,7.75,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
H36TM3FT5FSF2,Mystery Shot!,,5.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
ZDBAVVX9TTX9R,3 Wisemen,,8.75,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
YKCN6Y0TYQS54,Alabama Slammer,,7.25,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
S63E5MCXBT1XC,Astro Pop,,7.25,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
X28QV6YZM045R,B52,,7.25,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
70NQKVZ03348E,Baby Guinness,,6.75,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
QHB0J43H6HDY4,Blow Job,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
PYEMEC5FJAYV6,Brain Hemmorage,,7.25,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
WRMT7QSGTK5GA,Breakfast Shot,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
D1HZ8AVGKGK4T,Car Bomb,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
H19H369RGJE86,Cherry Bomb,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
KHM0BN24QH5PE,Chocolate Cake,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
TREP12SEKWNPY,Gatorade Shot,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
