Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
4Z8RY1SA5GSH0,Gingerbread Cookie,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
97M9V2BV68XDC,Gummy Bear,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
TFAZBT13K6B3P,Jager Bomb,,8.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
2P7NGQ5M509GP,Jolly Rancher,,7.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
S47MR6BK63ZBP,Key Lime Pie,,8.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
ZDKH0KR5BXM0E,Liquid Cocaine,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
Z71DPD9MA44GT,Mind Eraser,,7.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
W8RSFF6Z91B5C,Mocha Shot,,8.75,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
F65EGBW59HD52,Mudslide,,8.25,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
GJEETJ73FDCC4,Oatmeal Cookie,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
WSRG515EK7GJW,Panty Licker,,6.75,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
B3YX1D8BWBM9G,Purple Hooter,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
WF6KTZRSY88WP,Red Headed Slut,,6.75,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
6FXRP3YDZ3KKG,Scooby Snack,,8.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
DKNKWESTSSYNA,Shoot the Root,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
WVFH7D3V0BEHM,Slippery Nipple,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
Z51SWPVZJMMTJ,Starburst,,8.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
25A5EME5P2Q0J,Stoplight,,12.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
XYEHA4A30MHV6,Sunkiss,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
SC5FZ7XSXFW0E,Surfer on Acid,,7.25,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
AJ35FVW3QXYFT,Upside Down Cake,,7.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
F9F6T1P7TYHV6,Vegas Bomb,,10.00,Fixed,,DEFAULT,0.00,,,Red Bull Mods,,Liquor,No,No
NZTER2B4527YE,Washington Apple,,9.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
3B66CXPYCWFFM,Brownie A La Mode,,5.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Dessert Mods,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
50RAMDC7G3N4A,Cheesecake,,5.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Dessert Mods,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
JK1RDKSGW6VQJ,Ice Cream,,2.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Dessert Mods,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
N6DQW9WFSXB0W,Side Bacon,,5.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
3ZAC7JS4998GY,Side Sausage,,5.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
9GPGKE60DYCF8,Ham Steak,,5.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
RNT5WWS9R5AWM,Single Egg,,2.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Eggs,,,,
YF44NZGD8PMTJ,Hash Browns,,3.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
C7G1743PGEB4J,Country Potatoes (Brunch Only),,3.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
XH7KPZ4TFSYZ8,Biscuits and Gravy (Brunch Only),,5.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
0NNBZV070J1EP,Waffles (Brunch Only),,2.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
DW8CGJZEHAKKG,Toast,,2.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
,,,,,,,,,,Bread,,,,
1CR744NNP63TM,1000 Island Dressing,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
73PWKGWDTAPQT,Avocado,,2.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
A90P741R03NS0,BBQ Sauce,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
VRKEYKS012N92,Bake Potato,,3.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
J2XTKNDYJ5B8M,Blue Cheese Crumbles,,2.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
26CZ3E90BZS8C,Blue Cheese Dressing,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
M7NAAYZYEEAYT,Buffalo Sauce,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
YXGYM40DDQ5R0,Caesar Dressing,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
7E27RJW06W92W,Cheese Slice,,1.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Cheese,,Food,No,No
0H761W5BNAPXW,Chicken,,4.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
NYG9E4FS7PZ0P,Chips,,2.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
FKAGSTYE7YPVP,Chips & Guacamole,,4.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
4QH43T75CW54M,Chips & Salsa,,3.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
KTSHM2DQ3T8NY,Cocktail Sauce,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
TH6ZZCA6RHP5Y,Coleslaw,,3.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
B62GHQJ5NWBCM,Corn Tortillas,,2.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
KP9VGPEKXDFS4,Flour Tortillas,,2.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
XWFSNVQGHESDM,Fruit,,3.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
63C0T7XQCGSTG,Garlic Bread,,2.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
0F4SMNYC4YQZY,Grill Onion,,1.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
4JF0T2QFTZG48,Hamburger Patty,,3.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Temperature,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
9JAF2F82AM98A,Honey Mustard Dressing,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
CQXHWV7GB0SWM,Jalapeños,,1.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
Y1W6E8MEEJZQT,Mash Potatoes,,2.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
3ADXK1VAQ77V8,Mix Cheese,,1.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
6PQ77CXAW0FC8,Pasta Salad,,3.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,TOGO / OTHER Mods,,Food,No,No
W39143SZF9AE4,Pickles,,1.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
FM3M5AMHHBK90,Ranch Dressing,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
4TM7CEVXRE95Y,Rice,,3.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
76MBK6G93QZBP,Rolls,,1.50,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
N7DBKVJT6DWZ8,Salmon,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
9BK0PJX96JVK4,Salsa,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
QCS1AFSYKT03E,Sautéed Mushrooms,,2.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
58TCX3GVWMQ6C,Side Caesar Salad,,4.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Salad Mods,,,,
6E03GFR7TZQET,Side House Salad,,4.25,Fixed,,Pleasant Hill Tax Rate,0.00,,,Dressing,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Salad Mods,,,,
P0AF870TQ4DG6,Side Shrimp Skewer,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
072KP1Z3ZFPJC,Sour Cream,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
KNJYD3AJ9X8HM,Tartar Sauce,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
9MR6VFWM22S7W,Teriyaki Sauce,,0.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
BPE535RC37RGP,Tri-Tip,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Temperature,,Food,No,No
KTEPY0V6W8FQW,Veggies,,3.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,,,Food,No,No
5VSNPB19NR4B8,Magoos 1/4 Burger,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Sandwich/Burger Mods,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,Sides,,,,
,,,,,,,,,,Add Cheese Mod,,,,
5CK1WXHH254WA,Sliders,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
4Q552HNSA68SW,Monterey Chicken Dinner,,13.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,TOGO / OTHER Mods,,,,
KJ07WC6QMACSA,Special 1,,7.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
FQVY5HM8DNSK0,Special 2,,8.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
126HCZVSYR3ZP,Special 3,,9.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
G7F58CCHPHJ9A,Special 4,,10.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
0GA9JDRESPG1C,Special 5,,11.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
5VS84SA5CEWMA,Special 6,,12.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
SAPN2PT49MK4A,Special 7,,13.99,Fixed,,Pleasant Hill Tax Rate,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Sides,,,,
QW7C3BFXDQNWR,Long Island,,12.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
1G57W93VW0G4A,Wild Turkey 101,,9.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
PAKNP6BB44522,Tater Tots (Plain),,6.99,Fixed,,DEFAULT,0.00,,,Dressing,,Food,No,No
,,,,,,,,,,Additions,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,App Mods,,,,
,,,,,,,,,,Add Cheese Mod,,,,
F2JV32EDQKJR6,Grilled Cheese Sandwhich,,8.99,Fixed,,DEFAULT,0.00,,,Additions,,Food,No,No
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,App Mods,,,,
,,,,,,,,,,Sides,,,,
,,,,,,,,,,Add Cheese Mod,,,,
N3VR35W69Z9FP,Jack Daniel's Rye,,8.50,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
5Z4BERK400EMT,High West American Praire,,11.00,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
GP03XSYDMECD6,High West Double Rye,,11.00,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
54EN0R6Z1ZVYW,Captain Morgan orange vanilla,,5.00,Fixed,,DEFAULT,0.00,,,Liquor Mods,,Liquor,No,No
,,,,,,,,,,Rum DBL,,,,
BM5CB7C1EVKKP,Sweet Potato Fries,,6.99,Fixed,,DEFAULT,0.00,,,,,Food,No,No
FK1A59TN82FNM,Loaded Bloody Mary Upcharge,,2.00,Fixed,,DEFAULT,0.00,,,,,Liquor|Food,No,No
8FZYCZCPMS6QP,Hollandaise Sauce,,1.00,Fixed,,DEFAULT,0.00,,,,,Food,No,No
9SJ7S3Q6HV5B6,Cheeseburger,,9.99,Fixed,,DEFAULT,0.00,,,Dressing,,Food,No,No
,,,,,,,,,,Sandwich/Burger Mods,,,,
,,,,,,,,,,Temperature,,,,
,,,,,,,,,,Sides Mods,,,,
,,,,,,,,,,Sauce,,,,
,,,,,,,,,,TOGO / OTHER Mods,,,,
,,,,,,,,,,Cheese,,,,
,,,,,,,,,,Substitutions ,,,,
,,,,,,,,,,Sides,,,,
,,,,,,,,,,Add Cheese Mod,,,,
,,,,,,,,,,Bread,,,,
GW71S2FBJWKG6,Noletts,,13.00,Fixed,,DEFAULT,0.00,,,Vodka Mods,,,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Gin DBL,,,,
5X7F6Q2JVWEG6,Tin Cup,,10.00,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
1TXZBSZRX1BH2,Racer 5,,8.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
10DT60K94935R,Pitcher Racer 5,,32.00,Fixed,,DEFAULT,0.00,,,Beer Mods,,Liquor,No,No
6VYN5F8NT944P,Espadin Mezcal,,9.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Tequila Mods,,,,
WV1FX14V6RTHW,Pitcher Of Soda (Any),,10.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
9K6PY2BRCV0GE,Truly,,5.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
1KCKC66M1P9Y0,Bucket Of 6 Assorted Truly,,28.00,Fixed,,DEFAULT,0.00,,,,,,No,No
VRF0BMGNWNA3R,Snake Bite,,9.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
GHYRK849H89F0,Sminoff,,7.00,Fixed,,DEFAULT,0.00,,,Vodka DBL,,Liquor,No,No
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
3NZBXPEPP2FCP,21 Seeds Grapefruit Hibiscus,,8.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
8RFRBR74F8BJE,21 Seeds Cucumber Jalapeño,,8.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
NZFSJZ991VK5T,Jack Daniel's Apple,,8.50,Fixed,,DEFAULT,0.00,,,Whiskey Mods,,Liquor,No,No
B2QFGXM4B20Y2,Black And Tan,,10.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
BME0FMR1GYVJ6,Gift card,,,Variable,,,,CLOVER_GIFT_CARD,,,,,No,Yes
491NWVBEDVEC0,Duck Fart,,7.50,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
QZWP1Y6B3Y6HG,Bulliet,,10.00,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,Liquor,No,No
,,,,,,,,,,Whiskey Mods,,,,
G2Y4Y6E5K12WR,Casamigos Blanco,,9.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
9V7PGR5970ZZ6,Loaded Baked Potato,,4.99,Fixed,,DEFAULT,0.00,,,,,Food,No,No
B193S3HF0V9FE,Opera Prima Split,,6.50,Fixed,,DEFAULT,0.00,,,Mimosa Mods,,Liquor,No,No
YNCJCCPBJC2E4,The Real McCoy 3yr,,9.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,Liquor,No,No
,,,,,,,,,,Vodka Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Rum DBL,,,,
P05XGMFVXT3DM,Bucket Of DOMESTIC,,18.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
567NV722AJ728,Spanish Coffee,,12.00,Fixed,,DEFAULT,0.00,,,,,,Yes,No
FPMH64KDDFK22,Empress 1908,,8.00,Fixed,,DEFAULT,0.00,,,Gin DBL,,,No,No
GJG4P9FVPQK4P,Balsamic Dressing,,0.00,Fixed,,,0.00,,,,,Food,No,No
QWPXM6VHRSGEE,Top Shelf Long Island,,15.00,Fixed,,DEFAULT,0.00,,,,,,No,No
PG0H619HE6WHT,Monkey 47 Gin,,10.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,,No,No
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
,,,,,,,,,,Gin DBL,,,,
0719Q12AVBRJC,Butter Chardonnay,,10.00,Fixed,,DEFAULT,0.00,,,,,,No,No
FDCX45WNF2W1Y,Angel's Envy,,11.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Liquor Mods,,,,
,,,,,,,,,,Drink Mix,,,,
NT04C5QRJR2S8,HH Spinach and Artichoke Dip,,7.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
QC5D72CWVHW8G,HH Chili Cheese Dip,,7.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,Food,No,No
HZN2J8RMH5NF6,HH Chili Cheese Fries,,7.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
05W4WMJ0PP0RJ,HH Cajun Fries,,5.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
JTHYN3GPB6YJ0,HH Lemon Pepper Fries,,6.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
E5JD56YM9J3GP,HH Garlic Cheese Fries,,6.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
6FRWD7HZ2C64R,HH Garlic Fires,,5.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
E4G3DEG8AENMP,HH Hamburger w/ fries,,7.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
ECPDEH936SZ4J,HH Grilled Cheese w/ fries,,7.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
HSSDFC19K9NGP,HH Chicken Tenders w/ Fries,,7.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
,,,,,,,,,,Sauce,,,,
GR2BTW7489C5A,HH Potato Skins,,6.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
N4K0KJKD0SZE2,HH Chicken Wings,,6.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
,,,,,,,,,,Sauce,,,,
P0KPZ2G25W95A,HH Mac and Cheese Bites,,6.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
BH9P2B3JQP9WP,HH Fried Green Beans,,6.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
K3XQWTX9XGHH4,HH Jalapeno Bites,,6.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
9FNNG8SMWH3DC,HH Onion Rings,,6.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
BR8SW2WZS9CJE,HH BBQ Chicken Quesadilla,,7.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,Food,No,No
4P25JZQQ7W03T,HH Nachos,,7.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Happy Hour Mods,,,No,No
7BSRZZKQ9D86E,HH Caesar Salad,,5.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Salad Mods,,,No,No
,,,,,,,,,,Happy Hour Mods,,,,
ZV1TZECQ59HGJ,HH Magoo's Salad,,5.00,Fixed,,Pleasant Hill Tax Rate,0.00,,,Salad Mods,,,No,No
,,,,,,,,,,Happy Hour Mods,,,,
KY5AQ6A2PY6CJ,HH Domestic Pitcher,,16.00,Fixed,,DEFAULT,0.00,,,Glasses,,,No,No
HAMHAHMA0A392,HH Premium Pitcher,,20.00,Fixed,,DEFAULT,0.00,,,Glasses,,,No,No
GJY66GG7C6V8R,HH Shot and Domestic,,9.00,Fixed,,DEFAULT,0.00,,,HH Shot and Beer,,,No,No
6JH70RNZAEVVP,Happy Hour Domestic Bucket,,15.00,Fixed,,DEFAULT,0.00,,,HH Domestic Bucket,,,No,No
98ND3YV93H7AE,Calirosa Anejo,,12.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,Liquor,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Drink Mix,,,,
18SE31S6R6N0W,Centenario Anejo,,15.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,,No,No
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Drink Mix,,,,
E6SEEJRJQRH4G,Simi Cabernet,,15.00,Fixed,,DEFAULT,0.00,,,,,,No,No
46CE65G39QYSJ,Simi Cabernet,,36.00,Fixed,,DEFAULT,0.00,,,,,,No,No
GKZFCHMDK0P1A,Jim Beam Cans,,4.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
K5Z4AE1NJQR0P,Big Boy,,9.00,Fixed,,DEFAULT,0.00,,,Tequila DBL,,,No,No
,,,,,,,,,,Random Mixes Mods,,,,
,,,,,,,,,,Tequila Mods,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
282AMY9SH8DVW,Strawberry Mule,,12.00,Fixed,,DEFAULT,0.00,,,,,,No,No
4X5EGTHD3N2DT,Bee's Knee,,14.00,Fixed,,DEFAULT,0.00,,,,,,No,No
G1N12EZ6WBNA2,Paloma,,12.00,Fixed,,DEFAULT,0.00,,,,,,No,No
P16511M2CPCYA,That's My Jam!,,12.00,Fixed,,DEFAULT,0.00,,,,,,No,No
81HY5AE1FECWC,Lillet Spritz,,12.00,Fixed,,DEFAULT,0.00,,,,,,No,No
DQ4K817VFH1KG,Black & Gold,,12.00,Fixed,,DEFAULT,0.00,,,,,,No,No
NW8Q3Y07WHV7P,Roe and Coe Irish,,11.00,Fixed,,DEFAULT,0.00,,,Random Mixes Mods,,,No,No
,,,,,,,,,,Whiskey DBL,,,,
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Glasses,,,,
,,,,,,,,,,Red Bull Mods,,,,
,,,,,,,,,,Drink Mix,,,,
X3FPW43DF8MBR,Hazy/Jack,,12.00,Fixed,,DEFAULT,0.00,,,,,Liquor,No,No
97ZYVBVHXPC28,Slane,,9.00,Fixed,,DEFAULT,0.00,,,Whiskey DBL,,,No,No
,,,,,,,,,,Whiskey Mods,,,,
,,,,,,,,,,Glasses,,,,
,,,,,,,,,,Liquor Mods,,,,